Date,Ticker,News_Sentiment,News_Count
2025-12-15,INFY,0.489572,2
2025-12-16,INFY,-0.042942,10
2025-12-17,INFY,-0.170764,6
2025-12-18,INFY,0.094947,8
2025-12-19,INFY,0.108024,12
2025-12-20,INFY,0.21513,4
2025-12-21,INFY,0.273414,2
2025-12-22,INFY,0.201181,10
2025-12-23,INFY,0.121258,6
2025-12-24,INFY,0.403082,2
2025-12-26,INFY,0.323627,2
2025-12-27,INFY,-0.28246,2
2025-12-28,INFY,0.001697,8
2025-12-29,INFY,0.280295,6
2025-12-30,INFY,-0.006307,8
2025-12-31,INFY,0.257521,4
2026-01-01,INFY,0.145344,8
