Ticker,Last_Page_Downloaded,Last_Run_Date
NSEI,4,2026-04-04 15:52:03
RELIANCE,4,2026-04-04 15:52:18
TCS,4,2026-04-04 15:52:33
INFY,4,2026-04-04 15:52:49
HDFCBANK,4,2026-04-04 15:53:05
ICICIBANK,4,2026-04-04 15:53:20
SBIN,4,2026-04-04 15:53:35
LT,4,2026-04-04 15:53:51
ITC,4,2026-04-04 15:54:06
KOTAKBANK,2,2026-04-04 15:49:18
AXISBANK,2,2026-04-04 15:49:33
BAJFINANCE,2,2026-04-04 15:49:49
HINDUNILVR,2,2026-04-04 15:50:04
ASIANPAINT,2,2026-04-04 15:50:19
MARUTI,2,2026-04-04 15:50:35
SUNPHARMA,2,2026-04-04 15:50:50
